Country Name,Country Code,Indicator Name,Indicator Code,GDP 2016
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2646927374.30168
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19362642266.6484
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,101123851090.455
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11861353752.0672
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2877311946.90265
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2510521024647.25
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,357045064669.84296
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,557531376217.967
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10546135160.031
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,652000000.0
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1436585185.18519
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1208846993739.99
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,395227684138.86206
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,37867518957.1975
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2959640987.29943
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,476056833074.336
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,8578984066.299741
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,10867024151.6053
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,221415188000.475
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,53240950226.2443
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,32250132978.7234
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,11938400000.0
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,16913330693.9653
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,47722657820.6675
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1775100178.68896
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,33941126193.9219
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1796275437087.99
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4840500000.0
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,11400854267.7188
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2158972128.46907
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,15646316818.3319
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1823779165.27967
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1526705529135.32
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1317002605342.08
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,671308872735.114
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,250339863130.847
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,11137945669350.6
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,35296977343.6523
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,32621535418.9031
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,37134799974.5225
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,9035848070.90357
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,282825009887.458
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1012147323.7934301
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1663008687.09505
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,57157992434.1805
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,68106378709.8642
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,91370000000.0
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,3122287932.96089
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,4898908676.34705
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,20890936462.2537
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,195090272402.72897
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3466790065011.83
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,2618587757.14607
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,576229629.629629
